NO	CPA1	CPA2	CPA3	CPA4	RA1	RA2	RA3	RA4	RA5	CPL1	CPL2	CPL3	TRI1	TRI2	TRI3	OBS1	OBS2	OBS3	ATT1	ATT2	ATT3	INT1	INT2	INT3	INT4	SEX	AGE	EDUC	INCOME	STATUS
1	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less disagree	More or less disagree	More or less disagree	More or less disagree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Male	15-18 years old	High school or lesser	< 10,000,000 VND	Single
2	More or less agree	More or less agree	Agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	More or less disagree	More or less disagree	Neutral	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Female	19-22 years old	College diploma	< 10,000,000 VND	Single
3	More or less agree	More or less agree	More or less agree	More or less agree	Agree	Agree	More or less agree	More or less agree	Agree	More or less disagree	More or less disagree	More or less disagree	More or less agree	Agree	Agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Agree	More or less agree	More or less agree	Female	19-22 years old	Professional certificate	< 10,000,000 VND	Single
4	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	More or less disagree	Neutral	More or less agree	Neutral	More or less disagree	More or less disagree	More or less disagree	Neutral	Neutral	More or less agree	More or less disagree	More or less disagree	More or less disagree	Disagree	More or less disagree	Neutral	Neutral	Neutral	Neutral	Neutral	Male	19-22 years old	University undergraduate degree	< 10,000,000 VND	Single
5	More or less agree	More or less disagree	Neutral	Neutral	More or less disagree	More or less disagree	Disagree	More or less disagree	More or less disagree	Neutral	More or less disagree	Neutral	More or less disagree	More or less disagree	Disagree	Neutral	Neutral	Neutral	Neutral	Neutral	More or less agree	Neutral	Neutral	Neutral	Neutral	Female	19-22 years old	College diploma	< 10,000,000 VND	Single
6	Neutral	Neutral	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less disagree	More or less disagree	More or less disagree	Neutral	More or less agree	Neutral	Neutral	More or less agree	Neutral	More or less disagree	More or less disagree	More or less disagree	Neutral	Neutral	Neutral	Neutral	Male	19-22 years old	Professional certificate	< 10,000,000 VND	Single
7	More or less agree	More or less agree	Neutral	Neutral	More or less agree	More or less agree	More or less agree	Neutral	Neutral	More or less disagree	Neutral	Neutral	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Male	15-18 years old	High school or lesser	< 10,000,000 VND	Single
8	Neutral	Neutral	Neutral	More or less agree	Neutral	Neutral	Neutral	More or less agree	More or less agree	Neutral	Neutral	Neutral	Neutral	Neutral	More or less agree	Neutral	Neutral	Neutral	More or less agree	More or less agree	More or less agree	Neutral	Neutral	Neutral	More or less agree	Female	19-22 years old	High school or lesser	10,000,000 VND - 20,000,000 VND	Single
9	Neutral	More or less agree	More or less agree	Neutral	Neutral	More or less agree	More or less agree	Neutral	Neutral	More or less disagree	More or less disagree	More or less disagree	More or less disagree	Neutral	Disagree	More or less disagree	More or less disagree	More or less disagree	More or less disagree	More or less disagree	More or less disagree	Neutral	Neutral	Neutral	Neutral	Female	19-22 years old	University undergraduate degree	< 10,000,000 VND	Single
10	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less disagree	More or less disagree	More or less disagree	More or less agree	Agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	Neutral	Neutral	More or less agree	More or less agree	Male	15-18 years old	High school or lesser	< 10,000,000 VND	Single
11	More or less agree	Neutral	Neutral	More or less agree	Agree	Agree	More or less agree	More or less agree	Agree	Neutral	Neutral	More or less agree	Neutral	Neutral	More or less agree	Neutral	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	Agree	Agree	Agree	Female	19-22 years old	Professional certificate	< 10,000,000 VND	Single
12	More or less agree	More or less agree	More or less agree	More or less agree	Agree	Agree	More or less agree	More or less agree	Neutral	More or less disagree	More or less disagree	More or less disagree	Agree	More or less agree	Agree	Neutral	More or less disagree	Neutral	Neutral	More or less agree	More or less agree	Agree	More or less agree	More or less agree	More or less agree	Male	19-22 years old	University undergraduate degree	< 10,000,000 VND	Single
13	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	Neutral	More or less disagree	More or less disagree	More or less disagree	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	Neutral	Neutral	Neutral	Neutral	Neutral	Male	19-22 years old	College diploma	< 10,000,000 VND	Single
14	Agree	Agree	More or less agree	Agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	Neutral	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	Neutral	Neutral	Neutral	More or less agree	More or less agree	Agree	More or less agree	Female	15-18 years old	High school or lesser	< 10,000,000 VND	Single
15	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	More or less disagree	More or less disagree	Disagree	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Male	19-22 years old	College diploma	< 10,000,000 VND	Single
16	More or less agree	More or less agree	More or less agree	More or less agree	Agree	Agree	Agree	More or less agree	More or less agree	More or less disagree	More or less disagree	More or less disagree	More or less agree	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	More or less agree	Male	19-22 years old	University undergraduate degree	< 10,000,000 VND	Single
17	More or less disagree	More or less disagree	Disagree	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less disagree	More or less disagree	More or less disagree	More or less disagree	More or less disagree	More or less disagree	More or less disagree	More or less agree	Neutral	More or less disagree	More or less disagree	More or less disagree	Neutral	Neutral	Neutral	Neutral	Male	19-22 years old	University undergraduate degree	< 10,000,000 VND	Single
18	More or less agree	More or less agree	More or less agree	Agree	Neutral	Neutral	More or less agree	Neutral	More or less agree	Disagree	Neutral	Neutral	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	Neutral	More or less agree	Male	15-18 years old	High school or lesser	< 10,000,000 VND	Single
19	Neutral	Neutral	Neutral	Neutral	More or less disagree	Neutral	More or less agree	More or less disagree	Agree	More or less disagree	More or less disagree	More or less disagree	Neutral	More or less agree	More or less agree	More or less agree	Neutral	Neutral	More or less disagree	Neutral	More or less agree	Neutral	Neutral	Neutral	Neutral	Female	19-22 years old	College diploma	< 10,000,000 VND	Single
20	Neutral	Neutral	Neutral	Neutral	More or less disagree	More or less disagree	More or less disagree	More or less disagree	More or less disagree	Neutral	More or less disagree	Neutral	More or less disagree	More or less disagree	Disagree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	Neutral	Disagree	More or less agree	More or less agree	More or less disagree	Female	19-22 years old	College diploma	< 10,000,000 VND	Single
21	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less disagree	More or less disagree	Neutral	Neutral	More or less agree	Neutral	Neutral	More or less agree	More or less agree	Neutral	Neutral	Neutral	More or less agree	Neutral	More or less agree	Agree	Male	19-22 years old	College diploma	< 10,000,000 VND	Single
22	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	Neutral	More or less disagree	More or less disagree	More or less disagree	Neutral	Neutral	Neutral	More or less agree	Neutral	More or less agree	More or less disagree	More or less disagree	Neutral	Neutral	Neutral	Neutral	Neutral	Male	15-18 years old	High school or lesser	< 10,000,000 VND	Single
23	Neutral	Neutral	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	More or less disagree	Neutral	More or less disagree	Neutral	Neutral	More or less agree	More or less agree	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Female	19-22 years old	Professional certificate	< 10,000,000 VND	Single
24	Neutral	Neutral	Neutral	Neutral	More or less disagree	Neutral	Neutral	Neutral	More or less agree	More or less disagree	More or less disagree	More or less disagree	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	Neutral	Neutral	More or less agree	Neutral	Neutral	Neutral	Neutral	Male	19-22 years old	College diploma	< 10,000,000 VND	Single
25	Neutral	More or less agree	More or less agree	More or less agree	Agree	More or less agree	Agree	More or less agree	More or less agree	Neutral	More or less disagree	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	More or less agree	More or less agree	Agree	More or less agree	More or less agree	Female	15-18 years old	High school or lesser	< 10,000,000 VND	Single
26	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	More or less disagree	More or less agree	More or less agree	More or less agree	More or less disagree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Male	19-22 years old	University undergraduate degree	< 10,000,000 VND	Single
27	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	More or less agree	More or less disagree	More or less disagree	More or less disagree	More or less disagree	Neutral	More or less agree	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	More or less agree	More or less agree	Female	19-22 years old	College diploma	< 10,000,000 VND	Single
28	Neutral	More or less agree	Neutral	Neutral	Neutral	More or less disagree	More or less disagree	More or less disagree	Neutral	More or less disagree	Neutral	More or less disagree	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Male	19-22 years old	High school or lesser	< 10,000,000 VND	Single
29	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	More or less agree	More or less agree	More or less agree	Neutral	Neutral	Neutral	More or less agree	Neutral	Neutral	More or less agree	Female	15-18 years old	High school or lesser	< 10,000,000 VND	Married
30	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	More or less agree	Neutral	More or less disagree	More or less disagree	More or less disagree	More or less disagree	More or less disagree	More or less agree	Neutral	Neutral	Neutral	More or less disagree	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Male	19-22 years old	College diploma	< 10,000,000 VND	Single
31	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Agree	Agree	More or less agree	More or less disagree	Neutral	More or less disagree	More or less agree	More or less agree	More or less agree	Totally agree	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	Neutral	More or less agree	Agree	Female	19-22 years old	Professional certificate	< 10,000,000 VND	Single
32	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	More or less agree	Neutral	More or less disagree	More or less disagree	More or less disagree	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	Neutral	More or less agree	Male	15-18 years old	High school or lesser	< 10,000,000 VND	Single
33	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	More or less disagree	More or less disagree	More or less disagree	Neutral	Neutral	More or less agree	More or less disagree	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Female	19-22 years old	College diploma	< 10,000,000 VND	Single
34	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Male	19-22 years old	College diploma	< 10,000,000 VND	Single
35	More or less disagree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	More or less disagree	Neutral	More or less agree	Neutral	Neutral	Neutral	More or less agree	More or less agree	More or less agree	Neutral	Neutral	More or less agree	Neutral	Neutral	More or less agree	Neutral	Neutral	Neutral	Neutral	Female	15-18 years old	High school or lesser	< 10,000,000 VND	Single
36	Neutral	Neutral	Neutral	Neutral	More or less agree	Neutral	More or less agree	More or less agree	Neutral	More or less agree	Neutral	More or less agree	Neutral	More or less disagree	Neutral	Neutral	Neutral	More or less agree	More or less disagree	More or less disagree	Neutral	Neutral	Neutral	Neutral	Neutral	Female	19-22 years old	University undergraduate degree	< 10,000,000 VND	Single
37	Neutral	Neutral	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less disagree	More or less disagree	More or less disagree	Neutral	Neutral	Neutral	Neutral	Neutral	More or less disagree	Neutral	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	Female	19-22 years old	Professional certificate	< 10,000,000 VND	Single
38	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	More or less agree	More or less disagree	More or less disagree	More or less disagree	More or less disagree	Neutral	Neutral	More or less agree	Neutral	Neutral	Neutral	Disagree	Neutral	Disagree	Neutral	More or less disagree	More or less agree	Female	15-18 years old	High school or lesser	< 10,000,000 VND	Single
39	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	More or less disagree	More or less disagree	Neutral	More or less disagree	More or less disagree	More or less disagree	More or less disagree	More or less disagree	Disagree	More or less disagree	More or less disagree	More or less agree	More or less disagree	Disagree	Neutral	Neutral	Neutral	Neutral	More or less disagree	Male	19-22 years old	University undergraduate degree	< 10,000,000 VND	Single
40	More or less agree	More or less agree	More or less agree	More or less agree	Agree	Agree	More or less agree	More or less agree	More or less agree	More or less disagree	More or less disagree	More or less disagree	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Agree	Agree	Neutral	Female	19-22 years old	College diploma	< 10,000,000 VND	Single
41	More or less agree	Agree	Agree	Agree	More or less agree	More or less agree	Agree	Neutral	More or less agree	More or less disagree	More or less disagree	More or less disagree	Agree	Agree	Agree	More or less disagree	More or less disagree	Neutral	More or less agree	Neutral	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	Male	15-18 years old	High school or lesser	< 10,000,000 VND	Single
42	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	More or less disagree	Neutral	Neutral	More or less agree	More or less agree	More or less agree	Neutral	Neutral	More or less agree	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Female	19-22 years old	University undergraduate degree	< 10,000,000 VND	Single
43	Neutral	Neutral	Neutral	Neutral	Agree	Neutral	Neutral	Neutral	More or less agree	Neutral	Neutral	Neutral	More or less disagree	More or less disagree	Agree	Neutral	Neutral	Neutral	More or less agree	Neutral	Neutral	More or less agree	Neutral	More or less agree	More or less agree	Male	19-22 years old	Professional certificate	< 10,000,000 VND	Single
44	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	Neutral	Neutral	Neutral	More or less agree	Neutral	Disagree	Neutral	More or less agree	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	Male	19-22 years old	University undergraduate degree	< 10,000,000 VND	Single
45	More or less agree	More or less agree	Neutral	More or less agree	More or less disagree	Neutral	Neutral	Neutral	More or less disagree	More or less disagree	More or less disagree	More or less disagree	More or less disagree	More or less disagree	More or less agree	Neutral	More or less agree	Neutral	More or less disagree	More or less disagree	More or less disagree	Neutral	Neutral	Neutral	Neutral	Male	15-18 years old	High school or lesser	< 10,000,000 VND	Single
46	More or less disagree	More or less disagree	Disagree	Neutral	Agree	More or less agree	Neutral	More or less disagree	Neutral	More or less disagree	More or less disagree	Disagree	Neutral	Agree	Neutral	Neutral	Neutral	Agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	Female	19-22 years old	College diploma	< 10,000,000 VND	Single
47	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	More or less agree	More or less agree	Neutral	Neutral	More or less agree	Neutral	Neutral	Neutral	Neutral	More or less agree	Neutral	Neutral	More or less agree	Neutral	More or less agree	Neutral	More or less agree	More or less agree	Female	19-22 years old	University undergraduate degree	< 10,000,000 VND	Single
48	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	Neutral	More or less agree	Neutral	Neutral	More or less agree	Neutral	More or less agree	Agree	Agree	Agree	Neutral	More or less agree	Agree	Neutral	Male	19-22 years old	College diploma	< 10,000,000 VND	Single
49	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Agree	More or less disagree	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Agree	Agree	Agree	More or less agree	More or less agree	More or less agree	More or less agree	Male	19-22 years old	College diploma	< 10,000,000 VND	Single
50	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	More or less disagree	More or less disagree	More or less disagree	More or less agree	Neutral	More or less agree	Neutral	Neutral	Neutral	Agree	Agree	Agree	More or less agree	Agree	Neutral	More or less agree	Female	19-22 years old	Professional certificate	< 10,000,000 VND	Single
51	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less disagree	More or less disagree	Neutral	Neutral	More or less agree	More or less agree	More or less agree	Neutral	Agree	Agree	Agree	More or less agree	More or less agree	More or less agree	More or less agree	Female	15-18 years old	High school or lesser	< 10,000,000 VND	Single
52	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less disagree	Neutral	More or less disagree	More or less agree	Neutral	Neutral	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Male	19-22 years old	University undergraduate degree	< 10,000,000 VND	Single
53	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	Neutral	More or less agree	Neutral	Neutral	Neutral	Neutral	More or less agree	Agree	Agree	Agree	More or less agree	More or less agree	More or less agree	More or less agree	Female	19-22 years old	College diploma	< 10,000,000 VND	Single
54	More or less agree	More or less agree	Agree	More or less agree	More or less agree	Agree	Agree	More or less agree	Agree	Neutral	More or less disagree	More or less disagree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Agree	Agree	Agree	More or less agree	More or less agree	More or less agree	Agree	Female	15-18 years old	High school or lesser	< 10,000,000 VND	Single
55	Agree	More or less agree	More or less agree	More or less agree	More or less agree	Agree	Agree	Agree	More or less agree	Neutral	Neutral	Neutral	Agree	Agree	Agree	More or less agree	More or less agree	More or less agree	Agree	More or less agree	Agree	More or less agree	Agree	Agree	More or less agree	Male	19-22 years old	College diploma	< 10,000,000 VND	Single
56	Agree	Agree	More or less agree	More or less agree	Agree	Agree	Agree	Agree	Agree	More or less disagree	More or less disagree	Neutral	Agree	Agree	Agree	Agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Agree	More or less agree	Female	19-22 years old	University undergraduate degree	< 10,000,000 VND	Single
57	Agree	Agree	Agree	Agree	Agree	Agree	More or less agree	Agree	Agree	Neutral	More or less agree	Neutral	Agree	Agree	Agree	Neutral	More or less agree	More or less agree	Agree	More or less agree	Agree	Agree	Agree	Agree	Agree	Female	15-18 years old	High school or lesser	< 10,000,000 VND	Single
58	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Neutral	Neutral	Neutral	Agree	Agree	Agree	Neutral	Neutral	More or less agree	Neutral	Neutral	More or less agree	Agree	Agree	Agree	Agree	Male	19-22 years old	Professional certificate	< 10,000,000 VND	Single
59	Agree	Agree	Agree	Agree	Agree	More or less agree	Agree	Agree	Agree	More or less agree	Neutral	Neutral	More or less disagree	Neutral	More or less disagree	More or less agree	More or less agree	More or less agree	Neutral	Agree	Agree	Agree	Agree	Agree	Agree	Female	19-22 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Single
60	Neutral	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	Neutral	Neutral	More or less agree	More or less agree	Neutral	Neutral	More or less disagree	Neutral	More or less agree	More or less agree	Agree	More or less agree	More or less agree	More or less agree	Female	19-22 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Single
61	Agree	Agree	Agree	Agree	Agree	Agree	More or less agree	Agree	Agree	Neutral	Neutral	Neutral	More or less disagree	Neutral	More or less disagree	Neutral	More or less disagree	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Agree	More or less agree	Male	19-22 years old	College diploma	< 10,000,000 VND	Single
62	Agree	Agree	Agree	Agree	More or less disagree	Neutral	More or less disagree	More or less disagree	Neutral	Neutral	Neutral	Neutral	More or less disagree	Neutral	More or less disagree	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Agree	Agree	Agree	Agree	Female	23-25 years old	University undergraduate degree	30,000,000 VND – 40,000,000 VND	Single
63	More or less agree	More or less agree	More or less agree	Agree	More or less agree	More or less agree	More or less agree	More or less disagree	Agree	Neutral	Neutral	Neutral	Agree	More or less agree	Agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Agree	Agree	Agree	Agree	Female	23-25 years old	College diploma	10,000,000 VND - 20,000,000 VND	Married
64	More or less agree	More or less agree	More or less agree	More or less agree	Agree	Agree	More or less agree	Neutral	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Agree	Agree	More or less agree	More or less agree	More or less agree	Agree	Agree	Agree	Agree	Male	19-22 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Single
65	Neutral	More or less agree	Agree	Agree	Agree	Agree	More or less agree	More or less agree	Agree	Neutral	Neutral	Neutral	Agree	More or less agree	Agree	More or less agree	Neutral	More or less agree	Agree	Agree	Neutral	Agree	More or less agree	More or less agree	More or less agree	Female	23-25 years old	College diploma	10,000,000 VND - 20,000,000 VND	Married
66	Neutral	More or less agree	Neutral	More or less agree	More or less agree	Neutral	Neutral	More or less agree	More or less agree	More or less disagree	More or less disagree	More or less disagree	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	More or less agree	Neutral	Neutral	Neutral	Neutral	Female	23-25 years old	Professional certificate	< 10,000,000 VND	Married
67	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	More or less disagree	More or less disagree	More or less disagree	Neutral	Agree	Agree	More or less agree	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	Neutral	Agree	Male	23-25 years old	University undergraduate degree	30,000,000 VND – 40,000,000 VND	Single
68	More or less agree	More or less agree	More or less agree	Neutral	Neutral	Neutral	More or less disagree	More or less disagree	Neutral	Disagree	Disagree	Disagree	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	Disagree	More or less agree	Neutral	More or less agree	Female	23-25 years old	College diploma	10,000,000 VND - 20,000,000 VND	Married
69	Neutral	Neutral	Neutral	Neutral	Neutral	More or less agree	Neutral	Neutral	Neutral	More or less disagree	More or less disagree	More or less disagree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	More or less disagree	Agree	Agree	Agree	Neutral	Neutral	More or less agree	Neutral	Female	23-25 years old	College diploma	< 10,000,000 VND	Single
